Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
181,6041,Remo Dekker,6,H24+,0:10:33,263,0:01:52,0:39:00,191,0:51:24,201,0:01:24,0:22:28,186,1:15:14,
182,6023,Raymond Barendse,6,H24+,0:10:19,225,0:01:26,0:38:10,152,0:49:54,142,0:01:24,0:24:06,303,1:15:24,
183,1095,Timothy Ooms,1,H24+,0:09:50,149,0:01:28,0:39:54,244,0:51:11,193,0:01:17,0:23:04,218,1:15:30,
184,1122,Tim Tutert,1,H24+,0:10:17,221,0:01:48,0:39:11,202,0:51:15,196,0:01:33,0:22:44,197,1:15:31,
185,2128,Rainier Van Vlokhoven,2,H24+,0:11:00,327,0:01:45,0:39:27,218,0:52:11,236,0:01:17,0:22:10,172,1:15:37,
186,1017,Lubomir Kudlicka,1,H40+,0:09:36,121,0:01:42,0:40:18,259,0:51:35,210,0:01:33,0:22:33,189,1:15:40,
187,1067,Tim van der Horst,1,H24+,0:09:57,170,0:02:36,0:40:36,276,0:53:08,270,0:01:24,0:21:10,107,1:15:41,
188,1018,Rogier Collignon,1,H24+,0:09:49,144,0:02:03,0:38:57,186,0:50:47,181,0:02:04,0:22:54,203,1:15:43,
189,7078,Rob Otten,7,H40+,0:11:22,387,0:01:48,0:35:29,51,0:48:39,110,0:01:48,0:25:18,381,1:15:44,
190,6009,Frank Hammer,6,H40+,0:10:29,254,0:01:47,0:38:24,160,0:50:40,177,0:01:31,0:23:35,252,1:15:45,
191,1080,Ronald de Kruif,1,H24+,0:10:01,180,0:01:56,0:39:25,216,0:51:21,198,0:02:07,0:22:18,181,1:15:45,
