Plts,StartNr,Naam,Vereniging/Woonplaats,Cat,PltsCat,NettoTijd,Na1800m,race,date
93,924,Pauline Kaljouw,Amsterdam,Vrouw,54,00:23:01,00:10:50,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
94,1570,Manon Archambaud,Amsterdam,Vrouw,55,00:23:14,00:11:08,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
95,1453,Angelica Rodrigues,Amsterdam,Vrouw,56,00:23:19,00:11:04,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
96,2091,Cath Wolfs,Barleaus,Vrouw,57,00:23:25,00:11:47,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
97,1999,Vivian Koopmanschap,Lanx Cares,Vrouw,58,00:23:29,00:11:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
98,875,Marie-Claire Dassen,Amsterdam,Vrouw,59,00:23:36,00:11:16,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
99,2104,Bibiana Luz Kleverlaan,Barleaus,Vrouw,60,00:23:41,00:11:40,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
100,1094,Ferdi Klomp,Almere,Man,40,00:23:46,00:11:15,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
101,1462,Farrah de Groot-Stam,Hilversum,Vrouw,61,00:23:50,00:11:30,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
102,1153,Milian Esquivel,Amsterdam,Vrouw,62,00:23:54,00:11:33,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
103,1475,Annette van Hemert,Lelystad,Vrouw,63,00:24:03,00:11:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
104,1476,Mike Steenvoorden,Amsterdam,Man,41,00:24:03,00:11:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
105,2083,Liora Godfried,Barleaus,Vrouw,64,00:24:25,00:11:25,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
106,2113,Ayla Lunes,Barleaus,Vrouw,65,00:24:26,00:11:26,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
107,1569,Tanya Robbertze,Amsterdam,Vrouw,66,00:24:30,00:11:33,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
108,1273,Tianhao Hu,Diemen,Man,42,00:24:31,00:12:03,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
109,1118,Bego Fernandez Lacabe,Amsterdam,Vrouw,67,00:24:33,00:11:33,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
110,1117,Helena Barroso,Amsterdam,Vrouw,68,00:24:33,00:11:33,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
111,539,Floor de Vries,Ouderkerk aan de Amstel,Vrouw,69,00:24:35,00:12:17,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
112,537,Esther Bosman,Ouderkerk aan de Amstel,Vrouw,70,00:24:36,00:12:17,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
113,2176,Anna de Vey Mestdagh,Lanx Cares,Vrouw,71,00:24:37,00:11:36,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
114,631,Lina Chu,Oudewater,Vrouw,72,00:24:42,00:11:50,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
115,630,Daniella Sichtman,'s-Gravenhage,Vrouw,73,00:24:42,00:11:51,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
116,1995,Esther Herman,Lanx Cares,Vrouw,74,00:24:45,00:11:13,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
117,2108,Yannick Josephusjitta,Barleaus,Man,43,00:24:50,00:12:36,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
118,2105,Lanan Rhodes,Barleaus,Vrouw,75,00:25:00,00:12:36,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
119,2120,Micha Klok,Barleaus,Man,44,00:25:00,00:12:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
120,1013,Rosha Hubens,Amsterdam,Vrouw,76,00:25:00,00:12:43,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
121,1110,Christopher Ravestijn,Rijswijk Zh,Man,45,00:25:01,00:12:43,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
122,280,Chaya Rampersad,Amsterdam,Vrouw,77,00:25:04,00:12:25,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
123,1187,René Brachthuizen,Zaandam,Man,46,00:25:08,00:12:15,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
124,1412,Joyce Bergsma,Amsterdam,Vrouw,78,00:25:16,00:12:52,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
125,2200,Sabien Verhoeven,Amsterdam,Vrouw,79,00:25:16,00:07:40,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
126,1548,Jaro Sadiq,Amsterdam,Man,47,00:25:23,00:11:27,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
127,2084,Pippen Sardjoe,Barleaus,Vrouw,80,00:25:35,00:11:49,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
128,1450,Joy Merkelbag,Feniks,Vrouw,81,00:25:35,00:12:43,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
129,1454,Mariska Schirmann,Zaandam,Vrouw,82,00:25:36,00:12:43,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
130,2085,Anouk Cicak,Barleaus,Vrouw,83,00:25:36,00:11:49,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
131,1335,Nicole van Ee,Zaandam,Vrouw,84,00:25:50,00:12:23,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
132,1398,Khymo Djoa,Amsterdam,Man,48,00:26:07,00:12:39,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
133,1136,Sophia van Nood,Amsterdam,Vrouw,85,00:26:07,00:12:39,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
134,1099,Anna Datema,Amsterdam Zuidoost,Vrouw,86,00:26:08,00:13:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
135,860,Menke Peper,Amsterdam,Vrouw,87,00:26:12,00:12:21,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
136,1505,Inge Niesse,Amsterdam,Vrouw,88,00:26:14,00:12:36,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
137,1420,Wally Soesman,Amsterdam,Man,49,00:26:23,00:12:55,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
138,1536,Shannon Hoffmann,Hilversum,Vrouw,89,00:26:30,00:12:56,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
139,882,Lena Stremler,Amsterdam,Vrouw,90,00:26:39,00:12:01,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
140,749,Cilla Verbeek,Amstelveen,Vrouw,91,00:26:52,00:12:02,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
141,1355,Chloe de Roos Feinberg,Amsterdam,Vrouw,92,00:26:52,00:13:21,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
142,2090,Laura Jovanovic,Barleaus,Vrouw,93,00:26:58,00:10:50,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
143,479,Hetty Boone,Amsterdam,Vrouw,94,00:26:58,00:12:52,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
144,535,Carolyn Smith,Amsterdam,Vrouw,95,00:26:58,00:12:13,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
145,2184,Annette Schoof,Hoorn,Vrouw,96,00:27:10,00:12:39,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
146,2109,Setare Beyrami,Barleaus,Vrouw,97,00:27:28,00:12:22,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
147,671,Naomi Beijer,Amsterdam,Vrouw,98,00:27:41,00:13:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
148,574,Michèle Reijnen,Volendam,Vrouw,99,00:27:48,00:13:18,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
149,1278,BRENDA van der Oord,Sassenheim,Vrouw,100,00:27:49,00:13:50,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
150,575,Gina Voskuilen,Volendam,Vrouw,101,00:27:52,00:13:22,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
151,2095,Helena Diks,Barleaus,Vrouw,102,00:27:56,00:12:27,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
152,641,Annelies Giezeman,Amsterdam,Vrouw,103,00:27:56,00:11:25,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
153,2112,Marieke van den Broek,Barleaus,Vrouw,104,00:27:58,00:11:47,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
154,415,John Bullen,Amsterdam,Man,50,00:28:04,00:13:03,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
155,1208,Danielle van Dam,Amsterdam,Vrouw,105,00:28:08,00:13:10,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
156,1978,Bobje Kleijwegt,Lanx Cares,Vrouw,106,00:28:34,00:11:04,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
157,1554,Marga van Beek,Amstelveen,Vrouw,107,00:28:37,00:13:37,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
158,1376,Robby Gittens,Amsterdam Zuidoost,Man,51,00:28:40,00:13:39,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
159,1379,Rolston Gittens,Amsterdam Zuidoost,Man,52,00:28:42,00:13:40,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
160,1528,Jannetje Klaver,Amsterdam,Vrouw,108,00:29:13,00:14:09,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
161,490,Marielle Boerstoel,Amsterdam,Vrouw,109,00:29:25,00:14:07,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
162,1026,Rob Ramaekers,Amsterdam,Man,53,00:30:04,00:13:27,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
163,1028,Dorothée Ramaekers,Amsterdam,Vrouw,110,00:30:05,00:13:27,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
164,1037,Wouter Riedijk,Rotterdam,Man,54,00:30:06,00:13:21,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
165,747,Hernita Lumban Batu,Nieuwegein,Vrouw,111,00:31:01,00:14:32,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
166,269,Nathalie Nabarro,Amsterdam,Vrouw,112,00:31:24,00:13:54,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
167,1074,Sophie Elzinga,Amsterdam,Vrouw,113,00:32:25,00:15:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
168,1075,Hanneke Lazeron,Koog aan de Zaan,Vrouw,114,00:32:25,00:15:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
169,1514,Deepak Soekhoe,Amsterdam,Man,55,00:32:49,00:09:55,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
170,481,Nelleke Crans,Bussum,Vrouw,115,00:32:59,00:16:31,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
171,861,Bente van Os,Amsterdam,Vrouw,116,00:33:03,00:16:32,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
172,1408,Romy van Dam,Amsterdam,Vrouw,117,00:33:41,00:13:10,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
173,444,Laura Stoop,Amsterdam,Vrouw,118,00:35:56,00:08:59,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
174,563,Anton Brink,Amsterdam,Man,56,00:35:56,00:08:59,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
175,1895,Elsi,Noorderpark In Beweging,Vrouw,119,00:38:10, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
176,561,Selvia Root,Amsterdam,Vrouw,120,00:39:26,00:10:33,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
177,656,Declan Rack,Amsterdam,Man,57,00:39:54,00:10:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
178,400,Ernst Kolvenbag,Naarden,Man,58,00:40:41,00:10:37,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
179,1147,Daan Roovers,Amsterdam,Vrouw,121,00:41:45,00:30:55,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
180,1887,Michael Downer,Under Armour Europe BV,Man,59,00:42:42, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
181,1896,Bea Otten,Noorderpark In Beweging,Vrouw,122,00:44:42,00:21:35,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
182,1890,Nathan Lotz,Noorderpark In Beweging,Man,60,00:45:32,00:21:38,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
183,2081,Sanneke Bijlsma,Barleaus,Vrouw,123,00:47:38, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
184,1899,Raja,Noorderpark In Beweging,Vrouw,124,00:47:39,00:23:08,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
185,2093,Polly Korteweg,Barleaus,Vrouw,125,00:47:39,00:12:28,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
186,2097,Adam Rahouti,Barleaus,Man,61,00:47:40,00:12:28,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
187,1902,Maher Abdulhak,Noorderpark In Beweging,Man,62,00:53:20,00:13:13,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
188,1893,Muzzafar Audeel,Noorderpark In Beweging,Man,63,00:53:22,00:13:14,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
189,808,Claudia HUndersmarck,Weesp,Vrouw,126,01:05:34, ,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
