Rank,RaceNrs,Cat,RankCat,Team,Nation,Time,race,date
213,2360-2369,BEDRI,68,Fietswereld Gerben Kroes | Fietsleven.nl,NED,09:37:57,Run Winschoten 12-09-2015,2015-09-12
214,3470-3479,OVERI,72,De Beune 3,NED,09:38:08,Run Winschoten 12-09-2015,2015-09-12
215,2690-2699,BEDRI,69,Kwekerij Weijer,NED,09:40:00,Run Winschoten 12-09-2015,2015-09-12
216,3370-3379,OVERI,73,De Dappere Dodo's,NED,09:41:10,Run Winschoten 12-09-2015,2015-09-12
217,3750-3759,OVERI,74,de familie,NED,09:44:17,Run Winschoten 12-09-2015,2015-09-12
218,2000-2009,BEDRI,70,Koopjesdrogisterij,NED,09:44:27,Run Winschoten 12-09-2015,2015-09-12
219,1310-1319,ATLET,58,AV Aquilo – Wagenborg Shipping (baan),NED,09:44:32,Run Winschoten 12-09-2015,2015-09-12
220,3200-3209,OVERI,75,AAW,NED,09:44:44,Run Winschoten 12-09-2015,2015-09-12
221,5570-5579,112 B,8,"Blue Girls Power, politie dames",NED,09:48:15,Run Winschoten 12-09-2015,2015-09-12
222,3460-3469,OVERI,76,De Beune 2,NED,09:52:26,Run Winschoten 12-09-2015,2015-09-12
223,2760-2769,BEDRI,71,Henkel 2,NED,09:52:48,Run Winschoten 12-09-2015,2015-09-12
224,2440-2449,BEDRI,72,Bakker Zuidveld Agro,NED,09:55:12,Run Winschoten 12-09-2015,2015-09-12
225,1360-1369,ATLET,59,AV Aquilo - Marbo Natuursteen B.V.,NED,09:59:31,Run Winschoten 12-09-2015,2015-09-12
226,5020-5029,OLDAM,3,Gemeente Oldambt team 2,NED,10:01:45,Run Winschoten 12-09-2015,2015-09-12
227,3310-3319,OVERI,77,DeGenHartLopers,NED,10:02:04,Run Winschoten 12-09-2015,2015-09-12
228,2010-2019,BEDRI,73,Haarstudio Mooi! En Auto Oosterhuis,NED,10:02:34,Run Winschoten 12-09-2015,2015-09-12
229,2470-2479,BEDRI,74,Ommelander ziekenhuis groep 1,NED,10:07:25,Run Winschoten 12-09-2015,2015-09-12
230,1160-1169,ATLET,60,Judoschool TRJ Oost-Groningen,NED,10:09:22,Run Winschoten 12-09-2015,2015-09-12
231,2570-2579,BEDRI,75,Sportcentrum Nico Jager 1,NED,10:10:51,Run Winschoten 12-09-2015,2015-09-12
232,3600-3609,OVERI,78,De Populs,NED,10:12:13,Run Winschoten 12-09-2015,2015-09-12
233,4530-4539,VROUW,9,LT TuRa 07 Westrhauderfehn,GER,10:13:29,Run Winschoten 12-09-2015,2015-09-12
234,1350-1359,ATLET,61,AV Aquilo - Wagenborg Shipping,NED,10:17:26,Run Winschoten 12-09-2015,2015-09-12
235,2290-2299,BEDRI,76,Dát telt! Financiële dienstverlening,NED,10:18:20,Run Winschoten 12-09-2015,2015-09-12
236,2110-2119,BEDRI,77,Lentis,NED,10:20:37,Run Winschoten 12-09-2015,2015-09-12
237,2130-2139,BEDRI,78,Rijschool Edwin Hillenga 2,NED,10:24:29,Run Winschoten 12-09-2015,2015-09-12
